match_key,round_hint,venue,city,country,region,heat_index,humidity_index,altitude_index,travel_index,note
G001,Group,Estadio Azteca,Mexico City,Mexico,Mexico,0.55,0.25,1.0,0.55,Heuristic venue-context scenario input; not a match-day weather forecast.
G002,Group,Estadio Guadalajara,Guadalajara,Mexico,Mexico,0.65,0.35,0.65,0.55,Heuristic venue-context scenario input; not a match-day weather forecast.
G003,Group,Estadio Guadalajara,Guadalajara,Mexico,Mexico,0.65,0.35,0.65,0.55,Heuristic venue-context scenario input; not a match-day weather forecast.
G004,Group,Mercedes-Benz Stadium,Atlanta,United States,US South,0.75,0.75,0.15,0.55,Heuristic venue-context scenario input; not a match-day weather forecast.
G005,Group,Estadio Azteca,Mexico City,Mexico,Mexico,0.55,0.25,1.0,0.55,Heuristic venue-context scenario input; not a match-day weather forecast.
G006,Group,Estadio Monterrey,Monterrey,Mexico,Mexico,0.9,0.55,0.35,0.55,Heuristic venue-context scenario input; not a match-day weather forecast.
G007,Group,Toronto Stadium,Toronto,Canada,Canada,0.25,0.35,0.0,0.45,Heuristic venue-context scenario input; not a match-day weather forecast.
G008,Group,San Francisco Bay Area Stadium,San Francisco Bay Area,United States,US West,0.25,0.25,0.0,0.35,Heuristic venue-context scenario input; not a match-day weather forecast.
G009,Group,BC Place,Vancouver,Canada,Canada,0.15,0.25,0.0,0.35,Heuristic venue-context scenario input; not a match-day weather forecast.
G010,Group,Los Angeles Stadium,Los Angeles,United States,US West,0.45,0.3,0.0,0.4,Heuristic venue-context scenario input; not a match-day weather forecast.
G011,Group,BC Place,Vancouver,Canada,Canada,0.15,0.25,0.0,0.35,Heuristic venue-context scenario input; not a match-day weather forecast.
G012,Group,Seattle Stadium,Seattle,United States,US West,0.2,0.3,0.0,0.35,Heuristic venue-context scenario input; not a match-day weather forecast.
G013,Group,New York New Jersey Stadium,New York/New Jersey,United States,US Northeast,0.45,0.55,0.0,0.55,Heuristic venue-context scenario input; not a match-day weather forecast.
G014,Group,Boston Stadium,Boston,United States,US Northeast,0.35,0.45,0.0,0.5,Heuristic venue-context scenario input; not a match-day weather forecast.
G015,Group,Philadelphia Stadium,Philadelphia,United States,US Northeast,0.55,0.6,0.0,0.55,Heuristic venue-context scenario input; not a match-day weather forecast.
G016,Group,Boston Stadium,Boston,United States,US Northeast,0.35,0.45,0.0,0.5,Heuristic venue-context scenario input; not a match-day weather forecast.
