scenario_id,match_no,round,modal_pair_team1,modal_pair_team2,pair_probability,pair_ci_low,pair_ci_high,modal_pair_winner,modal_pair_winner_conditional_probability,modal_score_given_pair,modal_score_given_pair_probability,marginal_winner,marginal_winner_probability,marginal_winner_ci_low,marginal_winner_ci_high
C01,73,R32,South Korea,Switzerland,1.0,0.999961586887417,1.0,Switzerland,0.56675,0-1,0.10094,Switzerland,0.56675,0.5636762581870735,0.5698186136623967
C01,74,R32,Ecuador,Paraguay,1.0,0.999961586887417,1.0,Ecuador,0.57069,1-0,0.10165,Ecuador,0.57069,0.5676194951005158,0.5737550740536272
C01,75,R32,Japan,Morocco,1.0,0.999961586887417,1.0,Japan,0.51599,1-0,0.0977,Japan,0.51599,0.512892055140612,0.5190867164080475
C01,76,R32,Brazil,Netherlands,1.0,0.999961586887417,1.0,Brazil,0.59492,1-0,0.1024,Brazil,0.59492,0.5918737896566679,0.5979589179980394
C01,77,R32,France,Tunisia,1.0,0.999961586887417,1.0,France,0.7253,1-0,0.10989,France,0.7253,0.722524849548187,0.7280578415032831
C01,78,R32,Germany,Senegal,1.0,0.999961586887417,1.0,Senegal,0.51012,0-1,0.09582,Senegal,0.51012,0.5070213304067953,0.5132178921118061
C01,79,R32,Mexico,Scotland,1.0,0.999961586887417,1.0,Mexico,0.67513,1-0,0.10811,Mexico,0.67513,0.6722206577899219,0.6780258876332648
C01,80,R32,England,Dem. Rep. of Congo,1.0,0.999961586887417,1.0,England,0.62481,1-0,0.1051,England,0.62481,0.6218043858575167,0.6278060254613204
C01,81,R32,Turkey,Ivory Coast,1.0,0.999961586887417,1.0,Turkey,0.58013,1-0,0.10238,Turkey,0.58013,0.5770680587603393,0.5831857851542382
C01,82,R32,Belgium,Norway,1.0,0.999961586887417,1.0,Norway,0.50896,0-1,0.09604,Norway,0.50896,0.5058612377708486,0.5120580738661739
C01,83,R32,Portugal,Croatia,1.0,0.999961586887417,1.0,Portugal,0.52402,1-0,0.09803,Portugal,0.52402,0.5209237395079587,0.5271144151261129
C01,84,R32,Spain,Austria,1.0,0.999961586887417,1.0,Spain,0.68819,1-0,0.10959,Spain,0.68819,0.6853117238871195,0.6910538181855664
C01,85,R32,Canada,Egypt,1.0,0.999961586887417,1.0,Canada,0.60781,1-0,0.10441,Canada,0.60781,0.604779834915319,0.6108318824493458
C01,86,R32,Argentina,Uruguay,1.0,0.999961586887417,1.0,Argentina,0.62129,1-0,0.10542,Argentina,0.62129,0.6182789818781941,0.6242916998689555
C01,87,R32,Colombia,Panama,1.0,0.999961586887417,1.0,Colombia,0.64779,1-0,0.10656,Colombia,0.64779,0.6448238676195601,0.6507447782326226
C01,88,R32,United States,Iran,1.0,0.999961586887417,1.0,United States,0.5717,1-0,0.10202,United States,0.5717,0.5686303567787159,0.5747641347809398
C01,89,R16,Ecuador,France,0.41443,0.41138008876873144,0.4174864852513561,France,0.5245517940303549,0-1,0.09671114542866105,France,0.39663,0.39360200175055654,0.39966593977633896
C01,90,R16,Switzerland,Japan,0.29253,0.28971841370099355,0.2953575254359418,Japan,0.5393292995590195,0-1,0.09804122654086761,Japan,0.28982,0.28701623800618564,0.2926399093298199
C01,91,R16,Brazil,Senegal,0.30377,0.3009272410708822,0.3066278345392822,Brazil,0.5714520854593936,1-0,0.09984527767718998,Brazil,0.34453,0.3415906650557911,0.3474812791174356
C01,92,R16,Mexico,England,0.42235,0.41929166372978977,0.42541430182659445,Mexico,0.5433171540191785,1-0,0.09925417307919972,Mexico,0.3943,0.3912751785391383,0.39733294199286184
C01,93,R16,Portugal,Spain,0.36028,0.3573098976177835,0.36326083654239677,Spain,0.6106361718663262,0-1,0.10180970356389475,Spain,0.4252,0.42213882964901234,0.42826691695263025
C01,94,R16,Turkey,Norway,0.29473,0.2919121507954429,0.297563619323797,Norway,0.5148101652359787,0-1,0.09832728259763172,Turkey,0.28472,0.2819312939846841,0.2875252451650697
C01,95,R16,Argentina,United States,0.3536,0.350642516684303,0.35656873067506145,Argentina,0.6361425339366515,1-0,0.108710407239819,Argentina,0.41031,0.40726479252635867,0.4133620980177766
C01,96,R16,Canada,Colombia,0.39393,0.3909056896328753,0.3969624593248282,Colombia,0.6636458254004518,0-1,0.1067448531464981,Colombia,0.42927,0.42620496289735516,0.4323404710215509
C01,97,QF,France,Japan,0.11566,0.11369253835256893,0.11765698903881142,France,0.5579284108594156,1-0,0.09908352066401521,France,0.22972,0.22712322695809667,0.23233753763404125
C01,98,QF,Spain,Turkey,0.12042,0.11841743138049464,0.12245173031805391,Spain,0.6282179040026573,1-0,0.10621159275867796,Spain,0.27149,0.26874241339842897,0.27425514216228386
C01,99,QF,Brazil,Mexico,0.13479,0.13268742836942513,0.13692062933626778,Brazil,0.5872839231396988,1-0,0.10290080866533126,Brazil,0.20113,0.1986570842509153,0.20362587680300012
C01,100,QF,Argentina,Colombia,0.17547,0.173124972780937,0.1778399596339161,Argentina,0.5515472730381262,1-0,0.09836439277369351,Argentina,0.25629,0.2535934725804854,0.2590052507388499
C01,101,SF,France,Spain,0.06197,0.060492427701130724,0.06348122449027878,Spain,0.5605938357269646,0-1,0.10601904147167984,Spain,0.16401,0.16172790836165807,0.16631790448173545
C01,102,SF,Brazil,Argentina,0.05173,0.05037440714755465,0.053120031744400546,Argentina,0.5383723178039822,0-1,0.10226174366905084,Argentina,0.14994,0.14774070217681257,0.15216619161156902
C01,103,Third place,France,Argentina,0.01202,0.011363076983245787,0.01271441267811076,Argentina,0.5341098169717138,1-0,0.10149750415973377,Spain,0.06391,0.06241071571084058,0.0654427874376921
C01,104,Final,Spain,Argentina,0.02388,0.02295185680311251,0.024844721699213566,Spain,0.5121440536013401,0-1,0.09798994974874371,Spain,0.09641,0.0945961308654104,0.0982548754308044
