team,group,initial_elo,mean_terminal_group_elo,mean_group_stage_elo_change,n_group_sim
Mexico,A,1894.0,1874.1394600346816,-19.860539965318367,100000
South Africa,A,1556.0,1575.4395618457768,19.43956184577678,100000
South Korea,A,1773.0,1770.143207826158,-2.8567921738419955,100000
Czech Republic,A,1715.0,1718.2777702933474,3.27777029334743,100000
Canada,B,1776.0,1765.1640573360353,-10.835942663964715,100000
Bosnia and Herzegovina,B,1637.0,1642.7612243955946,5.761224395594581,100000
Qatar,B,1379.0,1402.5467046964077,23.546704696407687,100000
Switzerland,B,1905.0,1886.5280135721393,-18.471986427860656,100000
Brazil,C,1986.0,1969.5852316990515,-16.41476830094848,100000
Morocco,C,1903.0,1891.3091548176953,-11.690845182304656,100000
Haiti,C,1549.0,1573.6878329547135,24.687832954713485,100000
Scotland,C,1770.0,1773.4177805284712,3.417780528471212,100000
United States,D,1737.0,1741.376502219571,4.376502219570966,100000
Paraguay,D,1828.0,1831.9850153481093,3.9850153481093002,100000
Australia,D,1791.0,1797.0550767639204,6.055076763920397,100000
Turkey,D,1931.0,1916.5834056683302,-14.416594331669785,100000
Germany,E,1933.0,1918.4091825678777,-14.590817432122321,100000
Curaçao,E,1542.0,1567.5268830504206,25.526883050420565,100000
Ivory Coast,E,1776.0,1778.003516622133,2.00351662213302,100000
Ecuador,E,1948.0,1935.0604177595199,-12.93958224048015,100000
Netherlands,F,1928.0,1912.8821426134325,-15.117857386567493,100000
Japan,F,1931.0,1914.8108519259297,-16.189148074070317,100000
Sweden,F,1631.0,1648.3173899527412,17.317389952741223,100000
Tunisia,F,1648.0,1661.98961550791,13.989615507910003,100000
Belgium,G,1932.0,1911.0017751040843,-20.998224895915655,100000
Egypt,G,1730.0,1730.7097416345644,0.7097416345643524,100000
Iran,G,1769.0,1765.2387147737065,-3.7612852262934666,100000
New Zealand,G,1499.0,1523.0497684874904,24.049768487490383,100000
Spain,H,2154.0,2129.602457212529,-24.39754278747114,100000
Cape Verde,H,1594.0,1608.0346854092775,14.034685409277472,100000
Saudi Arabia,H,1583.0,1598.5913471719261,15.591347171926145,100000
Uruguay,H,1877.0,1871.7715102062837,-5.228489793716335,100000
France,I,2059.0,2040.1233293933303,-18.876670606669677,100000
Senegal,I,1887.0,1886.8981081422726,-0.10189185772742348,100000
Iraq,I,1692.0,1714.2157728770703,22.21577287707032,100000
Norway,I,1927.0,1923.7627895874107,-3.23721041258932,100000
Argentina,J,2084.0,2062.9968237595217,-21.003176240478297,100000
Algeria,J,1800.0,1803.3401335779843,3.340133577984261,100000
Austria,J,1845.0,1844.1432956720428,-0.8567043279572317,100000
Jordan,J,1670.0,1688.519746990454,18.519746990453996,100000
Portugal,K,1944.0,1931.5406646772576,-12.45933532274239,100000
Dem. Rep. of Congo,K,1727.0,1739.2524444335022,12.252444433502205,100000
Uzbekistan,K,1720.0,1735.0592834748043,15.05928347480426,100000
Colombia,K,1996.0,1981.1476074144798,-14.852392585520192,100000
England,L,2001.0,1981.2986952259484,-19.70130477405155,100000
Croatia,L,1914.0,1901.8228394386638,-12.177160561336223,100000
Ghana,L,1564.0,1586.825216538498,22.825216538497898,100000
Panama,L,1741.0,1750.0532487969538,9.053248796953767,100000
