match_index,input_order,date,home_team_raw,away_team_raw,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,goal_diff_multiplier,home_elo_before,away_elo_before,home_expected,away_expected,home_result,away_result,home_delta_raw,home_delta,away_delta,home_elo_after,away_elo_after,has_focus_team
1,48394,2025-06-09,Algeria,Rwanda,Algeria,Rwanda,2,0,Friendly,0,20.0,1.5,1760.0,1500.0,0.888184,0.111816,1.0,0.0,3.354473,3,-3,1763.0,1497.0,1
2,48398,2025-06-09,Liechtenstein,Scotland,Liechtenstein,Scotland,0,4,Friendly,0,20.0,1.875,1500.0,1782.0,0.259672,0.740328,0.0,1.0,-9.737684,-10,10,1490.0,1792.0,1
3,48400,2025-06-09,Morocco,Benin,Morocco,Benin,1,0,Friendly,0,20.0,1.0,1824.0,1500.0,0.919882,0.080118,1.0,0.0,1.602367,2,-2,1826.0,1498.0,1
4,48403,2025-06-09,Estonia,Norway,Estonia,Norway,0,1,FIFA World Cup qualification,0,40.0,1.0,1500.0,1917.0,0.138859,0.861141,0.0,1.0,-5.554363,-6,6,1494.0,1923.0,1
5,48405,2025-06-09,Belgium,Wales,Belgium,Wales,4,3,FIFA World Cup qualification,0,40.0,1.0,1893.0,1500.0,0.944692,0.055308,1.0,0.0,2.212331,2,-2,1895.0,1498.0,1
6,48407,2025-06-09,Croatia,Czech Republic,Croatia,Czech Republic,5,1,FIFA World Cup qualification,0,40.0,1.875,1908.0,1740.0,0.823862,0.176138,1.0,0.0,13.210385,13,-13,1921.0,1727.0,1
7,48424,2025-06-10,England,Senegal,England,Senegal,1,3,Friendly,0,20.0,1.5,2021.0,1867.0,0.81186,0.18814,0.0,1.0,-24.3558,-24,24,1997.0,1891.0,1
8,48428,2025-06-10,Mexico,Turkey,Mexico,Turkey,1,0,Friendly,1,20.0,1.0,1875.0,1911.0,0.448376,0.551624,1.0,0.0,11.032471,11,-11,1886.0,1900.0,1
9,48431,2025-06-10,Slovenia,Bosnia and Herzegovina,Slovenia,Bosnia and Herzegovina,2,1,Friendly,0,20.0,1.0,1500.0,1595.0,0.507195,0.492805,1.0,0.0,9.856098,10,-10,1510.0,1585.0,1
10,48432,2025-06-10,South Africa,Mozambique,South Africa,Mozambique,2,0,Friendly,0,20.0,1.5,1528.0,1500.0,0.676302,0.323698,1.0,0.0,9.71095,10,-10,1538.0,1490.0,1
11,48433,2025-06-10,Sweden,Algeria,Sweden,Algeria,4,3,Friendly,0,20.0,1.0,1712.0,1763.0,0.570053,0.429947,1.0,0.0,8.598944,9,-9,1721.0,1754.0,1
12,48434,2025-06-10,United States,Switzerland,United States,Switzerland,0,4,Friendly,0,20.0,1.875,1726.0,1891.0,0.407534,0.592466,0.0,1.0,-15.282516,-15,15,1711.0,1906.0,1
13,48436,2025-06-10,Uruguay,Venezuela,Uruguay,Venezuela,2,0,FIFA World Cup qualification,0,40.0,1.5,1892.0,1500.0,0.94439,0.05561,1.0,0.0,3.336589,3,-3,1895.0,1497.0,1
14,48437,2025-06-10,Peru,Ecuador,Peru,Ecuador,0,0,FIFA World Cup qualification,0,40.0,1.0,1500.0,1935.0,0.126926,0.873074,0.5,0.5,14.922955,15,-15,1515.0,1920.0,1
15,48438,2025-06-10,Argentina,Colombia,Argentina,Colombia,1,1,FIFA World Cup qualification,0,40.0,1.0,2114.0,1977.0,0.796455,0.203545,0.5,0.5,-11.858188,-12,12,2102.0,1989.0,1
16,48439,2025-06-10,Brazil,Paraguay,Brazil,Paraguay,1,0,FIFA World Cup qualification,0,40.0,1.0,1991.0,1833.0,0.815352,0.184648,1.0,0.0,7.385927,7,-7,1998.0,1826.0,1
17,48440,2025-06-10,Uzbekistan,Qatar,Uzbekistan,Qatar,3,0,FIFA World Cup qualification,0,40.0,1.75,1718.0,1421.0,0.907654,0.092346,1.0,0.0,6.46425,6,-6,1724.0,1415.0,1
18,48441,2025-06-10,Iran,North Korea,Iran,North Korea,3,0,FIFA World Cup qualification,0,40.0,1.75,1772.0,1500.0,0.894863,0.105137,1.0,0.0,7.359605,7,-7,1779.0,1493.0,1
19,48443,2025-06-10,South Korea,Kuwait,South Korea,Kuwait,4,0,FIFA World Cup qualification,0,40.0,1.875,1758.0,1500.0,0.887036,0.112964,1.0,0.0,8.47232,8,-8,1766.0,1492.0,1
20,48444,2025-06-10,Jordan,Iraq,Jordan,Iraq,0,1,FIFA World Cup qualification,0,40.0,1.0,1685.0,1618.0,0.723388,0.276612,0.0,1.0,-28.935515,-29,29,1656.0,1647.0,1
21,48447,2025-06-10,Japan,Indonesia,Japan,Indonesia,6,0,FIFA World Cup qualification,0,40.0,2.125,1906.0,1500.0,0.948474,0.051526,1.0,0.0,4.3797,4,-4,1910.0,1496.0,1
22,48448,2025-06-10,Saudi Arabia,Australia,Saudi Arabia,Australia,1,2,FIFA World Cup qualification,0,40.0,1.0,1569.0,1777.0,0.349395,0.650605,0.0,1.0,-13.975815,-14,14,1555.0,1791.0,1
23,48449,2025-06-10,Netherlands,Malta,Netherlands,Malta,8,0,FIFA World Cup qualification,0,40.0,2.375,1944.0,1500.0,0.958174,0.041826,1.0,0.0,3.973453,4,-4,1948.0,1496.0,1
24,48451,2025-06-10,San Marino,Austria,San Marino,Austria,0,4,FIFA World Cup qualification,0,40.0,1.875,1500.0,1830.0,0.210156,0.789844,0.0,1.0,-15.761687,-16,16,1484.0,1846.0,1
25,48455,2025-06-10,New Zealand,Ukraine,New Zealand,Ukraine,1,2,Canadian Shield,1,30.0,1.0,1562.0,1500.0,0.58829,0.41171,0.0,1.0,-17.648699,-18,18,1544.0,1518.0,1
