match_index,date,team,opponent,side,goals_for,goals_against,result,expected_result,tournament,neutral,k_factor,goal_diff_multiplier,elo_before,elo_delta,elo_after
1,2025-06-09,Algeria,Rwanda,home,2,0,1.0,0.888184,Friendly,0,20.0,1.5,1760.0,3,1763.0
2,2025-06-09,Scotland,Liechtenstein,away,4,0,1.0,0.740328,Friendly,0,20.0,1.875,1782.0,10,1792.0
3,2025-06-09,Morocco,Benin,home,1,0,1.0,0.919882,Friendly,0,20.0,1.0,1824.0,2,1826.0
4,2025-06-09,Norway,Estonia,away,1,0,1.0,0.861141,FIFA World Cup qualification,0,40.0,1.0,1917.0,6,1923.0
5,2025-06-09,Belgium,Wales,home,4,3,1.0,0.944692,FIFA World Cup qualification,0,40.0,1.0,1893.0,2,1895.0
6,2025-06-09,Croatia,Czech Republic,home,5,1,1.0,0.823862,FIFA World Cup qualification,0,40.0,1.875,1908.0,13,1921.0
6,2025-06-09,Czech Republic,Croatia,away,1,5,0.0,0.176138,FIFA World Cup qualification,0,40.0,1.875,1740.0,-13,1727.0
7,2025-06-10,England,Senegal,home,1,3,0.0,0.81186,Friendly,0,20.0,1.5,2021.0,-24,1997.0
7,2025-06-10,Senegal,England,away,3,1,1.0,0.18814,Friendly,0,20.0,1.5,1867.0,24,1891.0
8,2025-06-10,Mexico,Turkey,home,1,0,1.0,0.448376,Friendly,1,20.0,1.0,1875.0,11,1886.0
8,2025-06-10,Turkey,Mexico,away,0,1,0.0,0.551624,Friendly,1,20.0,1.0,1911.0,-11,1900.0
9,2025-06-10,Bosnia and Herzegovina,Slovenia,away,1,2,0.0,0.492805,Friendly,0,20.0,1.0,1595.0,-10,1585.0
10,2025-06-10,South Africa,Mozambique,home,2,0,1.0,0.676302,Friendly,0,20.0,1.5,1528.0,10,1538.0
11,2025-06-10,Sweden,Algeria,home,4,3,1.0,0.570053,Friendly,0,20.0,1.0,1712.0,9,1721.0
