group,modal_order,probability,ci_low,ci_high,count
A,Mexico > South Korea > Czech Republic > South Africa,0.1224,0.12038313103555813,0.12444587854706458,12240
B,Canada > Switzerland > Bosnia and Herzegovina > Qatar,0.14205,0.1399000346180997,0.1442274653291985,14205
C,Brazil > Morocco > Scotland > Haiti,0.12372,0.12169369354511395,0.12577521462689156,12372
D,Turkey > United States > Paraguay > Australia,0.05791,0.05647923526885778,0.059374728837025915,5791
E,Ecuador > Germany > Ivory Coast > Curaçao,0.10982,0.1078970835111979,0.11177289254533743,10982
F,Japan > Netherlands > Tunisia > Sweden,0.10132,0.09946504397547973,0.10320558510396949,10132
G,Belgium > Iran > Egypt > New Zealand,0.10738,0.10547620019102526,0.10931396332149947,10738
H,Spain > Uruguay > Cape Verde > Saudi Arabia,0.15251,0.1502950977690574,0.1547515985759256,15251
I,France > Senegal > Norway > Iraq,0.09045,0.08868796717916844,0.09224349700134835,9045
J,Argentina > Austria > Algeria > Jordan,0.10963,0.10770856115574844,0.11158142949776968,10963
K,Colombia > Portugal > Dem. Rep. of Congo > Uzbekistan,0.09855,0.09671805039003643,0.1004127914980565,9855
L,England > Croatia > Panama > Ghana,0.11019,0.10826421124013814,0.11214573639069385,11019
