rank,count,probability,ci_low,ci_high,advanced_third_groups,group_orders
1,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,B/C/E/F/G/H/K/L,A:Czech Republic > Mexico > South Africa > South Korea | B:Canada > Switzerland > Qatar > Bosnia and Herzegovina | C:Brazil > Scotland > Morocco > Haiti | D:Australia > United States > Turkey > Paraguay | E:Ivory Coast > Ecuador > Curaçao > Germany | F:Tunisia > Netherlands > Japan > Sweden | G:Iran > Belgium > Egypt > New Zealand | H:Uruguay > Spain > Saudi Arabia > Cape Verde | I:France > Iraq > Senegal > Norway | J:Algeria > Jordan > Austria > Argentina | K:Portugal > Uzbekistan > Dem. Rep. of Congo > Colombia | L:England > Ghana > Panama > Croatia
2,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/C/E/F/H/I/J/L,A:South Africa > Mexico > South Korea > Czech Republic | B:Switzerland > Canada > Bosnia and Herzegovina > Qatar | C:Brazil > Scotland > Morocco > Haiti | D:United States > Paraguay > Turkey > Australia | E:Curaçao > Germany > Ivory Coast > Ecuador | F:Tunisia > Japan > Netherlands > Sweden | G:Egypt > Belgium > New Zealand > Iran | H:Uruguay > Saudi Arabia > Spain > Cape Verde | I:Senegal > France > Iraq > Norway | J:Jordan > Argentina > Austria > Algeria | K:Colombia > Uzbekistan > Dem. Rep. of Congo > Portugal | L:England > Croatia > Ghana > Panama
3,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,B/C/D/E/F/H/I/J,A:Mexico > South Korea > South Africa > Czech Republic | B:Qatar > Switzerland > Bosnia and Herzegovina > Canada | C:Morocco > Scotland > Brazil > Haiti | D:Turkey > Australia > United States > Paraguay | E:Ecuador > Ivory Coast > Curaçao > Germany | F:Japan > Netherlands > Tunisia > Sweden | G:New Zealand > Iran > Belgium > Egypt | H:Spain > Uruguay > Saudi Arabia > Cape Verde | I:Norway > France > Iraq > Senegal | J:Austria > Jordan > Algeria > Argentina | K:Colombia > Dem. Rep. of Congo > Uzbekistan > Portugal | L:England > Croatia > Panama > Ghana
4,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,C/D/E/F/G/H/I/K,A:Mexico > South Africa > Czech Republic > South Korea | B:Canada > Qatar > Switzerland > Bosnia and Herzegovina | C:Morocco > Scotland > Brazil > Haiti | D:Paraguay > Australia > Turkey > United States | E:Germany > Ecuador > Curaçao > Ivory Coast | F:Japan > Tunisia > Netherlands > Sweden | G:Belgium > Egypt > Iran > New Zealand | H:Spain > Uruguay > Cape Verde > Saudi Arabia | I:Norway > Senegal > Iraq > France | J:Argentina > Austria > Jordan > Algeria | K:Uzbekistan > Colombia > Portugal > Dem. Rep. of Congo | L:England > Ghana > Panama > Croatia
5,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/D/E/J/K/L,A:Mexico > South Africa > South Korea > Czech Republic | B:Bosnia and Herzegovina > Switzerland > Canada > Qatar | C:Morocco > Scotland > Brazil > Haiti | D:Paraguay > United States > Turkey > Australia | E:Ecuador > Ivory Coast > Germany > Curaçao | F:Japan > Netherlands > Tunisia > Sweden | G:Egypt > Belgium > Iran > New Zealand | H:Spain > Uruguay > Cape Verde > Saudi Arabia | I:Senegal > Norway > France > Iraq | J:Argentina > Jordan > Austria > Algeria | K:Uzbekistan > Colombia > Portugal > Dem. Rep. of Congo | L:Croatia > Panama > Ghana > England
6,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,B/E/G/H/I/J/K/L,A:Mexico > South Korea > South Africa > Czech Republic | B:Switzerland > Canada > Bosnia and Herzegovina > Qatar | C:Brazil > Scotland > Haiti > Morocco | D:Turkey > Australia > Paraguay > United States | E:Ecuador > Curaçao > Germany > Ivory Coast | F:Netherlands > Japan > Sweden > Tunisia | G:Egypt > Belgium > Iran > New Zealand | H:Spain > Uruguay > Cape Verde > Saudi Arabia | I:Norway > France > Senegal > Iraq | J:Argentina > Austria > Jordan > Algeria | K:Dem. Rep. of Congo > Portugal > Colombia > Uzbekistan | L:England > Croatia > Ghana > Panama
7,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/F/G/J/K/L,A:South Africa > Mexico > Czech Republic > South Korea | B:Qatar > Switzerland > Canada > Bosnia and Herzegovina | C:Morocco > Scotland > Brazil > Haiti | D:United States > Paraguay > Australia > Turkey | E:Germany > Ivory Coast > Curaçao > Ecuador | F:Netherlands > Sweden > Japan > Tunisia | G:Belgium > Iran > Egypt > New Zealand | H:Spain > Uruguay > Cape Verde > Saudi Arabia | I:Senegal > Norway > France > Iraq | J:Jordan > Austria > Argentina > Algeria | K:Portugal > Dem. Rep. of Congo > Colombia > Uzbekistan | L:Ghana > Panama > Croatia > England
8,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/D/E/H/I/L,A:South Africa > Czech Republic > Mexico > South Korea | B:Qatar > Bosnia and Herzegovina > Canada > Switzerland | C:Brazil > Scotland > Morocco > Haiti | D:Paraguay > Turkey > United States > Australia | E:Germany > Ivory Coast > Ecuador > Curaçao | F:Netherlands > Japan > Tunisia > Sweden | G:Iran > Belgium > Egypt > New Zealand | H:Uruguay > Spain > Cape Verde > Saudi Arabia | I:France > Norway > Iraq > Senegal | J:Argentina > Algeria > Jordan > Austria | K:Colombia > Dem. Rep. of Congo > Portugal > Uzbekistan | L:Croatia > Panama > Ghana > England
9,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/E/G/H/I/K/L,A:Mexico > South Africa > Czech Republic > South Korea | B:Bosnia and Herzegovina > Switzerland > Canada > Qatar | C:Brazil > Morocco > Haiti > Scotland | D:United States > Turkey > Australia > Paraguay | E:Ecuador > Ivory Coast > Germany > Curaçao | F:Japan > Tunisia > Netherlands > Sweden | G:Iran > New Zealand > Belgium > Egypt | H:Spain > Saudi Arabia > Uruguay > Cape Verde | I:France > Senegal > Iraq > Norway | J:Argentina > Algeria > Austria > Jordan | K:Colombia > Uzbekistan > Portugal > Dem. Rep. of Congo | L:England > Panama > Croatia > Ghana
10,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/D/G/J/K/L,A:Mexico > Czech Republic > South Africa > South Korea | B:Switzerland > Bosnia and Herzegovina > Canada > Qatar | C:Haiti > Scotland > Brazil > Morocco | D:Paraguay > Australia > United States > Turkey | E:Ecuador > Ivory Coast > Germany > Curaçao | F:Netherlands > Tunisia > Japan > Sweden | G:Belgium > Egypt > New Zealand > Iran | H:Uruguay > Spain > Cape Verde > Saudi Arabia | I:France > Iraq > Senegal > Norway | J:Argentina > Austria > Algeria > Jordan | K:Colombia > Dem. Rep. of Congo > Uzbekistan > Portugal | L:Croatia > Ghana > England > Panama
11,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/C/F/G/I/J/K/L,A:Mexico > South Korea > South Africa > Czech Republic | B:Canada > Bosnia and Herzegovina > Qatar > Switzerland | C:Brazil > Haiti > Morocco > Scotland | D:Paraguay > United States > Turkey > Australia | E:Germany > Ecuador > Ivory Coast > Curaçao | F:Japan > Netherlands > Tunisia > Sweden | G:Belgium > New Zealand > Egypt > Iran | H:Spain > Saudi Arabia > Uruguay > Cape Verde | I:France > Norway > Iraq > Senegal | J:Algeria > Austria > Argentina > Jordan | K:Colombia > Portugal > Uzbekistan > Dem. Rep. of Congo | L:Croatia > Panama > England > Ghana
12,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/D/F/G/I/J/K/L,A:Mexico > South Korea > Czech Republic > South Africa | B:Switzerland > Bosnia and Herzegovina > Canada > Qatar | C:Brazil > Scotland > Morocco > Haiti | D:Turkey > Paraguay > United States > Australia | E:Ecuador > Germany > Curaçao > Ivory Coast | F:Sweden > Japan > Netherlands > Tunisia | G:New Zealand > Belgium > Iran > Egypt | H:Uruguay > Spain > Saudi Arabia > Cape Verde | I:Senegal > France > Norway > Iraq | J:Algeria > Argentina > Austria > Jordan | K:Colombia > Uzbekistan > Portugal > Dem. Rep. of Congo | L:Croatia > Ghana > England > Panama
13,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,B/D/F/G/I/J/K/L,A:Czech Republic > Mexico > South Africa > South Korea | B:Switzerland > Canada > Bosnia and Herzegovina > Qatar | C:Morocco > Haiti > Brazil > Scotland | D:Paraguay > United States > Turkey > Australia | E:Ecuador > Germany > Ivory Coast > Curaçao | F:Japan > Tunisia > Netherlands > Sweden | G:Iran > Egypt > Belgium > New Zealand | H:Spain > Saudi Arabia > Cape Verde > Uruguay | I:Senegal > France > Norway > Iraq | J:Austria > Jordan > Argentina > Algeria | K:Colombia > Portugal > Uzbekistan > Dem. Rep. of Congo | L:Panama > Croatia > England > Ghana
14,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/F/G/I/J/K/L,A:Mexico > South Korea > Czech Republic > South Africa | B:Bosnia and Herzegovina > Qatar > Canada > Switzerland | C:Morocco > Brazil > Scotland > Haiti | D:United States > Turkey > Australia > Paraguay | E:Ecuador > Curaçao > Ivory Coast > Germany | F:Sweden > Tunisia > Netherlands > Japan | G:Egypt > Belgium > Iran > New Zealand | H:Cape Verde > Spain > Uruguay > Saudi Arabia | I:Norway > Senegal > Iraq > France | J:Argentina > Algeria > Austria > Jordan | K:Dem. Rep. of Congo > Colombia > Portugal > Uzbekistan | L:Croatia > England > Panama > Ghana
15,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/C/E/F/G/H/J/L,A:South Africa > Mexico > South Korea > Czech Republic | B:Switzerland > Qatar > Canada > Bosnia and Herzegovina | C:Brazil > Scotland > Morocco > Haiti | D:Paraguay > United States > Turkey > Australia | E:Germany > Ecuador > Ivory Coast > Curaçao | F:Netherlands > Tunisia > Japan > Sweden | G:Egypt > Belgium > Iran > New Zealand | H:Uruguay > Spain > Cape Verde > Saudi Arabia | I:Norway > Senegal > Iraq > France | J:Argentina > Austria > Jordan > Algeria | K:Portugal > Colombia > Uzbekistan > Dem. Rep. of Congo | L:Panama > England > Croatia > Ghana
16,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/D/F/G/H/K/L,A:Mexico > South Korea > Czech Republic > South Africa | B:Canada > Switzerland > Qatar > Bosnia and Herzegovina | C:Brazil > Morocco > Scotland > Haiti | D:Turkey > Paraguay > Australia > United States | E:Ivory Coast > Curaçao > Germany > Ecuador | F:Sweden > Japan > Netherlands > Tunisia | G:Egypt > Belgium > New Zealand > Iran | H:Spain > Saudi Arabia > Uruguay > Cape Verde | I:Norway > France > Senegal > Iraq | J:Argentina > Algeria > Jordan > Austria | K:Portugal > Colombia > Uzbekistan > Dem. Rep. of Congo | L:Ghana > Croatia > England > Panama
17,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,B/E/G/H/I/J/K/L,A:South Korea > South Africa > Mexico > Czech Republic | B:Switzerland > Bosnia and Herzegovina > Canada > Qatar | C:Haiti > Morocco > Scotland > Brazil | D:Turkey > Australia > United States > Paraguay | E:Ivory Coast > Ecuador > Curaçao > Germany | F:Netherlands > Tunisia > Japan > Sweden | G:New Zealand > Belgium > Egypt > Iran | H:Spain > Uruguay > Cape Verde > Saudi Arabia | I:Norway > Iraq > Senegal > France | J:Argentina > Algeria > Austria > Jordan | K:Dem. Rep. of Congo > Uzbekistan > Colombia > Portugal | L:England > Panama > Croatia > Ghana
18,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/E/F/H/I/K,A:Mexico > South Korea > South Africa > Czech Republic | B:Canada > Qatar > Bosnia and Herzegovina > Switzerland | C:Morocco > Brazil > Scotland > Haiti | D:United States > Turkey > Australia > Paraguay | E:Ivory Coast > Germany > Ecuador > Curaçao | F:Sweden > Netherlands > Tunisia > Japan | G:Belgium > Egypt > Iran > New Zealand | H:Saudi Arabia > Cape Verde > Spain > Uruguay | I:Senegal > France > Norway > Iraq | J:Argentina > Jordan > Austria > Algeria | K:Colombia > Portugal > Uzbekistan > Dem. Rep. of Congo | L:Croatia > Panama > England > Ghana
19,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/D/F/G/I/K/L,A:Mexico > South Korea > South Africa > Czech Republic | B:Canada > Switzerland > Qatar > Bosnia and Herzegovina | C:Scotland > Morocco > Haiti > Brazil | D:Australia > Paraguay > United States > Turkey | E:Ecuador > Germany > Ivory Coast > Curaçao | F:Netherlands > Tunisia > Japan > Sweden | G:Egypt > Iran > New Zealand > Belgium | H:Saudi Arabia > Spain > Cape Verde > Uruguay | I:Senegal > France > Norway > Iraq | J:Argentina > Algeria > Austria > Jordan | K:Dem. Rep. of Congo > Colombia > Portugal > Uzbekistan | L:England > Ghana > Panama > Croatia
20,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,D/E/F/G/H/I/J/K,A:South Korea > South Africa > Mexico > Czech Republic | B:Switzerland > Bosnia and Herzegovina > Canada > Qatar | C:Brazil > Scotland > Morocco > Haiti | D:United States > Australia > Paraguay > Turkey | E:Germany > Ivory Coast > Ecuador > Curaçao | F:Netherlands > Japan > Sweden > Tunisia | G:Belgium > Egypt > Iran > New Zealand | H:Uruguay > Spain > Cape Verde > Saudi Arabia | I:France > Senegal > Iraq > Norway | J:Argentina > Austria > Jordan > Algeria | K:Dem. Rep. of Congo > Portugal > Colombia > Uzbekistan | L:Panama > Croatia > England > Ghana
21,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/E/F/G/J/K,A:Czech Republic > Mexico > South Africa > South Korea | B:Bosnia and Herzegovina > Canada > Switzerland > Qatar | C:Haiti > Morocco > Brazil > Scotland | D:Paraguay > United States > Australia > Turkey | E:Ecuador > Germany > Curaçao > Ivory Coast | F:Japan > Netherlands > Sweden > Tunisia | G:Belgium > Egypt > New Zealand > Iran | H:Uruguay > Spain > Saudi Arabia > Cape Verde | I:France > Norway > Senegal > Iraq | J:Jordan > Algeria > Argentina > Austria | K:Colombia > Portugal > Dem. Rep. of Congo > Uzbekistan | L:Ghana > Panama > Croatia > England
22,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,B/C/E/F/G/H/K/L,A:Mexico > South Korea > Czech Republic > South Africa | B:Switzerland > Bosnia and Herzegovina > Canada > Qatar | C:Morocco > Brazil > Haiti > Scotland | D:United States > Turkey > Australia > Paraguay | E:Ecuador > Germany > Curaçao > Ivory Coast | F:Sweden > Netherlands > Japan > Tunisia | G:Egypt > Iran > Belgium > New Zealand | H:Spain > Uruguay > Cape Verde > Saudi Arabia | I:Iraq > Senegal > Norway > France | J:Jordan > Argentina > Austria > Algeria | K:Portugal > Colombia > Dem. Rep. of Congo > Uzbekistan | L:England > Panama > Croatia > Ghana
23,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/D/E/F/G/H/J/L,A:Mexico > South Korea > Czech Republic > South Africa | B:Canada > Switzerland > Bosnia and Herzegovina > Qatar | C:Morocco > Scotland > Haiti > Brazil | D:Australia > Turkey > United States > Paraguay | E:Ecuador > Curaçao > Germany > Ivory Coast | F:Netherlands > Japan > Tunisia > Sweden | G:Belgium > Egypt > Iran > New Zealand | H:Spain > Uruguay > Saudi Arabia > Cape Verde | I:Iraq > Norway > France > Senegal | J:Jordan > Argentina > Austria > Algeria | K:Portugal > Colombia > Dem. Rep. of Congo > Uzbekistan | L:Croatia > Ghana > England > Panama
24,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,C/D/E/G/H/J/K/L,A:Mexico > South Korea > Czech Republic > South Africa | B:Switzerland > Canada > Bosnia and Herzegovina > Qatar | C:Brazil > Haiti > Morocco > Scotland | D:Paraguay > United States > Australia > Turkey | E:Ecuador > Germany > Ivory Coast > Curaçao | F:Netherlands > Japan > Tunisia > Sweden | G:Iran > Egypt > Belgium > New Zealand | H:Uruguay > Cape Verde > Spain > Saudi Arabia | I:Senegal > Norway > France > Iraq | J:Argentina > Algeria > Austria > Jordan | K:Colombia > Portugal > Dem. Rep. of Congo > Uzbekistan | L:Croatia > Ghana > England > Panama
25,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/C/E/H/I/J/K/L,A:Mexico > South Korea > Czech Republic > South Africa | B:Switzerland > Canada > Bosnia and Herzegovina > Qatar | C:Scotland > Morocco > Brazil > Haiti | D:Paraguay > Turkey > Australia > United States | E:Germany > Ivory Coast > Curaçao > Ecuador | F:Sweden > Netherlands > Tunisia > Japan | G:Iran > Belgium > Egypt > New Zealand | H:Cape Verde > Uruguay > Spain > Saudi Arabia | I:Iraq > Norway > France > Senegal | J:Argentina > Austria > Jordan > Algeria | K:Colombia > Portugal > Dem. Rep. of Congo > Uzbekistan | L:Croatia > England > Panama > Ghana
26,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/C/E/F/G/H/K/L,A:South Africa > Czech Republic > South Korea > Mexico | B:Canada > Switzerland > Bosnia and Herzegovina > Qatar | C:Haiti > Brazil > Scotland > Morocco | D:United States > Paraguay > Turkey > Australia | E:Ecuador > Ivory Coast > Curaçao > Germany | F:Netherlands > Japan > Sweden > Tunisia | G:Iran > Egypt > Belgium > New Zealand | H:Spain > Cape Verde > Uruguay > Saudi Arabia | I:France > Iraq > Norway > Senegal | J:Algeria > Austria > Argentina > Jordan | K:Dem. Rep. of Congo > Uzbekistan > Colombia > Portugal | L:Panama > England > Croatia > Ghana
27,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/D/E/F/G/J/K/L,A:South Korea > Mexico > South Africa > Czech Republic | B:Switzerland > Canada > Bosnia and Herzegovina > Qatar | C:Brazil > Scotland > Morocco > Haiti | D:Paraguay > Turkey > Australia > United States | E:Germany > Ecuador > Curaçao > Ivory Coast | F:Netherlands > Japan > Tunisia > Sweden | G:Iran > Belgium > Egypt > New Zealand | H:Spain > Saudi Arabia > Cape Verde > Uruguay | I:Norway > Senegal > Iraq > France | J:Algeria > Jordan > Argentina > Austria | K:Colombia > Dem. Rep. of Congo > Portugal > Uzbekistan | L:England > Croatia > Panama > Ghana
28,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/E/G/I/J/K,A:South Korea > Mexico > South Africa > Czech Republic | B:Canada > Switzerland > Bosnia and Herzegovina > Qatar | C:Brazil > Morocco > Scotland > Haiti | D:Paraguay > Turkey > United States > Australia | E:Germany > Ivory Coast > Curaçao > Ecuador | F:Netherlands > Sweden > Japan > Tunisia | G:New Zealand > Egypt > Belgium > Iran | H:Spain > Cape Verde > Uruguay > Saudi Arabia | I:Iraq > Norway > Senegal > France | J:Jordan > Algeria > Argentina > Austria | K:Uzbekistan > Colombia > Portugal > Dem. Rep. of Congo | L:England > Ghana > Croatia > Panama
29,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/D/E/F/H/I/J/K,A:Mexico > South Korea > Czech Republic > South Africa | B:Switzerland > Canada > Bosnia and Herzegovina > Qatar | C:Brazil > Morocco > Haiti > Scotland | D:Paraguay > Australia > Turkey > United States | E:Ecuador > Curaçao > Germany > Ivory Coast | F:Japan > Sweden > Tunisia > Netherlands | G:Egypt > Belgium > Iran > New Zealand | H:Spain > Uruguay > Cape Verde > Saudi Arabia | I:Norway > France > Iraq > Senegal | J:Argentina > Austria > Algeria > Jordan | K:Colombia > Portugal > Uzbekistan > Dem. Rep. of Congo | L:England > Croatia > Ghana > Panama
30,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/C/D/E/F/G/I/K,A:Mexico > South Africa > South Korea > Czech Republic | B:Switzerland > Canada > Qatar > Bosnia and Herzegovina | C:Morocco > Scotland > Haiti > Brazil | D:Paraguay > Turkey > Australia > United States | E:Ecuador > Germany > Ivory Coast > Curaçao | F:Netherlands > Sweden > Tunisia > Japan | G:Iran > Egypt > Belgium > New Zealand | H:Spain > Cape Verde > Saudi Arabia > Uruguay | I:France > Senegal > Norway > Iraq | J:Jordan > Argentina > Austria > Algeria | K:Colombia > Dem. Rep. of Congo > Uzbekistan > Portugal | L:England > Croatia > Panama > Ghana
31,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/C/F/G/H/I/J/K,A:South Korea > South Africa > Czech Republic > Mexico | B:Switzerland > Bosnia and Herzegovina > Qatar > Canada | C:Morocco > Brazil > Haiti > Scotland | D:Turkey > United States > Paraguay > Australia | E:Ivory Coast > Ecuador > Germany > Curaçao | F:Tunisia > Japan > Sweden > Netherlands | G:Belgium > Egypt > Iran > New Zealand | H:Spain > Uruguay > Cape Verde > Saudi Arabia | I:Senegal > France > Norway > Iraq | J:Argentina > Austria > Algeria > Jordan | K:Colombia > Portugal > Uzbekistan > Dem. Rep. of Congo | L:Panama > England > Ghana > Croatia
32,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/C/D/E/G/H/J/L,A:Czech Republic > South Africa > Mexico > South Korea | B:Canada > Switzerland > Qatar > Bosnia and Herzegovina | C:Brazil > Morocco > Haiti > Scotland | D:Turkey > United States > Australia > Paraguay | E:Ecuador > Curaçao > Germany > Ivory Coast | F:Netherlands > Tunisia > Japan > Sweden | G:Iran > Belgium > Egypt > New Zealand | H:Spain > Uruguay > Saudi Arabia > Cape Verde | I:France > Norway > Iraq > Senegal | J:Austria > Algeria > Argentina > Jordan | K:Colombia > Portugal > Uzbekistan > Dem. Rep. of Congo | L:England > Ghana > Panama > Croatia
33,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/F/G/H/I/J,A:Mexico > South Africa > South Korea > Czech Republic | B:Canada > Qatar > Switzerland > Bosnia and Herzegovina | C:Morocco > Brazil > Haiti > Scotland | D:Turkey > Paraguay > United States > Australia | E:Germany > Ecuador > Ivory Coast > Curaçao | F:Japan > Netherlands > Tunisia > Sweden | G:Egypt > Iran > Belgium > New Zealand | H:Spain > Cape Verde > Uruguay > Saudi Arabia | I:Senegal > France > Norway > Iraq | J:Argentina > Austria > Algeria > Jordan | K:Portugal > Colombia > Uzbekistan > Dem. Rep. of Congo | L:England > Panama > Ghana > Croatia
34,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/D/E/H/I/L,A:South Korea > Mexico > Czech Republic > South Africa | B:Switzerland > Canada > Bosnia and Herzegovina > Qatar | C:Brazil > Morocco > Scotland > Haiti | D:United States > Australia > Paraguay > Turkey | E:Ecuador > Ivory Coast > Germany > Curaçao | F:Japan > Netherlands > Sweden > Tunisia | G:Iran > Belgium > Egypt > New Zealand | H:Uruguay > Spain > Cape Verde > Saudi Arabia | I:Senegal > France > Norway > Iraq | J:Argentina > Algeria > Austria > Jordan | K:Dem. Rep. of Congo > Colombia > Portugal > Uzbekistan | L:England > Croatia > Panama > Ghana
35,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/D/F/I/J/K,A:Czech Republic > Mexico > South Korea > South Africa | B:Canada > Switzerland > Qatar > Bosnia and Herzegovina | C:Scotland > Morocco > Haiti > Brazil | D:United States > Australia > Turkey > Paraguay | E:Ivory Coast > Curaçao > Germany > Ecuador | F:Tunisia > Netherlands > Sweden > Japan | G:Belgium > New Zealand > Iran > Egypt | H:Uruguay > Spain > Cape Verde > Saudi Arabia | I:France > Iraq > Senegal > Norway | J:Argentina > Austria > Algeria > Jordan | K:Dem. Rep. of Congo > Portugal > Colombia > Uzbekistan | L:England > Croatia > Panama > Ghana
36,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/D/E/F/J/L,A:Czech Republic > Mexico > South Korea > South Africa | B:Switzerland > Qatar > Canada > Bosnia and Herzegovina | C:Scotland > Haiti > Brazil > Morocco | D:United States > Australia > Paraguay > Turkey | E:Germany > Curaçao > Ecuador > Ivory Coast | F:Japan > Tunisia > Netherlands > Sweden | G:Belgium > New Zealand > Iran > Egypt | H:Spain > Cape Verde > Uruguay > Saudi Arabia | I:Norway > Senegal > France > Iraq | J:Argentina > Algeria > Austria > Jordan | K:Portugal > Colombia > Uzbekistan > Dem. Rep. of Congo | L:Ghana > Croatia > Panama > England
37,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/C/E/G/I/K/L,A:South Korea > Czech Republic > Mexico > South Africa | B:Switzerland > Canada > Qatar > Bosnia and Herzegovina | C:Morocco > Scotland > Haiti > Brazil | D:Australia > Turkey > United States > Paraguay | E:Ecuador > Germany > Ivory Coast > Curaçao | F:Japan > Sweden > Netherlands > Tunisia | G:New Zealand > Egypt > Belgium > Iran | H:Spain > Uruguay > Saudi Arabia > Cape Verde | I:Iraq > France > Senegal > Norway | J:Argentina > Algeria > Jordan > Austria | K:Portugal > Dem. Rep. of Congo > Colombia > Uzbekistan | L:England > Croatia > Panama > Ghana
38,1,1e-05,1.7652477303783194e-06,5.664709659040964e-05,A/B/E/F/H/I/J/L,A:South Korea > South Africa > Czech Republic > Mexico | B:Canada > Bosnia and Herzegovina > Switzerland > Qatar | C:Morocco > Haiti > Brazil > Scotland | D:Turkey > Paraguay > United States > Australia | E:Ecuador > Germany > Ivory Coast > Curaçao | F:Sweden > Tunisia > Japan > Netherlands | G:Egypt > Iran > New Zealand > Belgium | H:Cape Verde > Uruguay > Spain > Saudi Arabia | I:Senegal > France > Iraq > Norway | J:Austria > Jordan > Argentina > Algeria | K:Uzbekistan > Colombia > Portugal > Dem. Rep. of Congo | L:Panama > England > Croatia > Ghana
