group,third_place_group_qualifies,third_place_group_qualifies_ci_low,third_place_group_qualifies_ci_high,third_place_group_qualifies_count
A,0.64821,0.6452446581162619,0.6511639554689062,64821
B,0.65735,0.6544024860707448,0.6602854253227254,65735
C,0.66381,0.6608758156130101,0.6667315994830454,66381
D,0.69314,0.6902741885879152,0.6959909731949562,69314
E,0.67737,0.6744658010248331,0.6802605723076093,67737
F,0.66865,0.665726203892665,0.6715608393644608,66865
G,0.67461,0.6716994746638435,0.6775071107089804,67461
H,0.61869,0.6156750983629545,0.6216957831323805,61869
I,0.68597,0.6830862580114894,0.6888394546154164,68597
J,0.66309,0.6601542997558775,0.6660131706550602,66309
K,0.67285,0.6699355004342099,0.6757512201527701,67285
L,0.67626,0.6733532428827541,0.679153215726798,67626
